machine_name,model_name,board_name,lot_number,model_code,default_date,volume,rest_volume,line_code,productions,divisions_volume
GC06,CAM-009,CAM-009集合,1198503-10,Y8470133R,2025-10-15,600.0,0,GC12,"{datetime.datetime(2025, 11, 17, 0, 0): 600}",8
GC06,CAM-009,CAM-009集合,1198505-10,Y8470133R,2025-10-21,600.0,0,GC12,"{datetime.datetime(2025, 11, 17, 0, 0): 600}",8
GC06,CAM-009,CAM-009集合,1198507-10,Y8470133R,2025-10-24,600.0,0,GC12,"{datetime.datetime(2025, 11, 17, 0, 0): 600}",8
GC06,CAM-009,CAM-009集合,1199227-10,Y8470133R,2025-10-29,600.0,0,GC12,"{datetime.datetime(2025, 11, 17, 0, 0): 1200}",8
GC06,CAM-009,CAM-009集合,1199229-10,Y8470133R,2025-11-07,1200.0,0,GC12,"{datetime.datetime(2025, 11, 17, 0, 0): 1200}",8
GC07,FH1230B2F,MAIN集合,1199558-20,Y8469901R,2025-11-19,120.0,0,GC18,"{datetime.datetime(2025, 11, 18, 0, 0): 120}",10
GC07,FH1578B0F,MAIN,1199551-10,Y8469896R,2025-11-18,180.0,0,GC18,"{datetime.datetime(2025, 11, 18, 0, 0): 180}",1
GC07,FH1578B0F,MAIN,1199860-10,Y8469896R,2025-11-18,120.0,0,GC18,"{datetime.datetime(2025, 11, 18, 0, 0): 95, datetime.datetime(2025, 11, 19, 0, 0): 25}",1
GC07,FH1578B0F,MAIN,1199551-20,Y8469896R,2025-11-18,180.0,0,GC18,"{datetime.datetime(2025, 11, 19, 0, 0): 180}",1
GC07,FH1578B0F,MAIN,1199860-20,Y8469896R,2025-11-18,120.0,0,GC18,"{datetime.datetime(2025, 11, 19, 0, 0): 120}",1
GC07,RECORDER_UNIT,MAIN集合,1199413-10,Y8469975R,2025-11-13,70.0,0,GC25,"{datetime.datetime(2025, 11, 19, 0, 0): 60}",10
GC07,RECORDER_UNIT,MAIN集合,1199415-10,Y8469975R,2025-11-13,50.0,0,GC25,"{datetime.datetime(2025, 11, 19, 0, 0): 50}",10
GC07,RECORDER_UNIT,MAIN集合,1200063-10,Y8469975R,2025-11-19,150.0,0,GC25,"{datetime.datetime(2025, 11, 19, 0, 0): 150}",10
GC07,RECORDER_UNIT,MAIN集合,1199413-20,Y8469975R,2025-11-13,70.0,0,GC25,"{datetime.datetime(2025, 11, 20, 0, 0): 60}",10
GC07,RECORDER_UNIT,MAIN集合,1199415-20,Y8469975R,2025-11-13,50.0,0,GC25,"{datetime.datetime(2025, 11, 20, 0, 0): 50}",10
GC07,RECORDER_UNIT,MAIN集合,1200063-20,Y8469975R,2025-11-19,150.0,0,GC25,"{datetime.datetime(2025, 11, 20, 0, 0): 150}",10
GC07,VCB-T2C4,DCP-122Z集合,1199438-10,Y8470730R,2025-11-20,2400.0,0,GT13,"{datetime.datetime(2025, 11, 20, 0, 0): 2400}",20
GC07,VCB-T2C4,DCP-122Z集合,1199438-20,Y8470730R,2025-11-20,2400.0,0,GT13,"{datetime.datetime(2025, 11, 20, 0, 0): 2400}",20
GC07,VCB-T5C4F,DCP-122Z集合,1199431-10,Y8470732R,2025-11-20,4800.0,0,GT13,"{datetime.datetime(2025, 11, 20, 0, 0): 4800}",20
GC07,VCB-T5C4F,DCP-122Z集合,1200062-10,Y8470732R,2025-11-20,20.0,0,GT13,"{datetime.datetime(2025, 11, 20, 0, 0): 20}",20
GC07,VCB-T5C4F,DCP-122Z集合,1199431-20,Y8470732R,2025-11-20,4800.0,0,GT13,"{datetime.datetime(2025, 11, 21, 0, 0): 4800}",20
GC07,VCB-T5C4F,DCP-122Z集合,1200062-20,Y8470732R,2025-11-20,20.0,0,GT13,"{datetime.datetime(2025, 11, 21, 0, 0): 20}",20
GC07,FH1502D0F,MAIN集合,1199580-10,Y8469922R,2025-11-21,64.0,0,GC18,"{datetime.datetime(2025, 11, 21, 0, 0): 40, datetime.datetime(2025, 11, 25, 0, 0): 24}",2
